sub,patch,env,leaveT,meanLT,dmLeave
5,1,2,7.365977566,8.629635414,-1.263657848
6,1,2,7.986658495,11.94416194,-3.957503441
6,1,2,10.18703701,11.94416194,-1.757124922
6,2,2,11.07972478,11.94416194,-0.864437156
6,1,2,8.785415622,11.94416194,-3.158746313
6,3,2,14.94123939,11.94416194,2.997077454
6,2,2,11.55478154,11.94416194,-0.389380396
6,2,2,9.448516472,11.94416194,-2.495645464
6,1,2,4.761540877,11.94416194,-7.182621059
6,3,2,11.61122075,11.94416194,-0.33294119
6,1,2,6.583429952,11.94416194,-5.360731984
6,1,2,6.466572309,11.94416194,-5.477589626
6,2,2,11.1055367,11.94416194,-0.838625233
6,3,2,16.97658646,11.94416194,5.032424521
6,1,2,8.796510131,11.94416194,-3.147651805
6,2,2,12.42219716,11.94416194,0.478035227
6,1,2,11.33784625,11.94416194,-0.606315685
6,1,2,10.43704319,11.94416194,-1.507118748
6,2,2,16.22587485,11.94416194,4.281712913
6,3,2,18.47996513,11.94416194,6.535803195
6,1,2,8.46397027,11.94416194,-3.480191665
6,1,2,7.58448257,11.94416194,-4.359679366
6,1,2,9.634213498,11.94416194,-2.309948437
6,2,2,15.04700156,11.94416194,3.102839625
6,3,2,17.5470014,11.94416194,5.602839465
6,1,2,8.334961011,11.94416194,-3.609200924
6,2,2,15.97573333,11.94416194,4.031571393
6,3,2,17.16631531,11.94416194,5.222153377
6,2,2,14.99122882,11.94416194,3.047066886
6,1,2,10.30558969,11.94416194,-1.63857225
6,1,2,13.42445122,11.94416194,1.48028928
6,3,2,18.68666578,11.94416194,6.742503839
6,1,2,10.4035265,11.94416194,-1.540635439
6,1,2,10.85234252,11.94416194,-1.091819411
6,3,1,17.16856616,11.94416194,5.224404223
6,2,1,15.8089334,11.94416194,3.864771466
6,3,1,16.25893611,11.94416194,4.314774176
6,1,1,5.548937936,11.94416194,-6.395223999
6,3,1,15.08456484,11.94416194,3.1404029
6,2,1,14.19079206,11.94416194,2.246630123
6,1,1,4.563797111,11.94416194,-7.380364825
6,3,1,17.02467014,11.94416194,5.080508207
6,3,1,17.59393497,11.94416194,5.649773032
6,2,1,12.18859958,11.94416194,0.244437649
6,1,1,4.564692895,11.94416194,-7.379469041
6,3,1,17.83169555,11.94416194,5.887533617
6,2,1,11.59358345,11.94416194,-0.350578482
6,1,1,8.836242787,11.94416194,-3.107919148
6,3,1,17.5270241,11.94416194,5.582862166
6,3,1,18.25999803,11.94416194,6.315836095
6,2,1,11.28344461,11.94416194,-0.660717327
6,3,1,17.00899344,11.94416194,5.064831505
6,3,1,15.21276427,11.94416194,3.26860233
6,2,1,11.15713264,11.94416194,-0.787029291
6,3,1,17.0921256,11.94416194,5.147963664
6,3,1,17.42908024,11.94416194,5.4849183
6,1,1,4.968433956,11.94416194,-6.97572798
6,3,1,10.03452762,11.94416194,-1.90963432
6,3,1,12.40085037,11.94416194,0.456688434
6,2,1,12.05631669,11.94416194,0.112154753
6,3,1,15.18002597,11.94416194,3.235864037
6,1,1,3.964055743,11.94416194,-7.980106192
6,2,1,9.01162627,11.94416194,-2.932535666
6,2,1,16.17575264,11.94416194,4.231590701
6,3,1,11.50112975,11.94416194,-0.443032183
6,2,1,4.619424562,11.94416194,-7.324737373
7,1,2,12.86453199,18.11475839,-5.250226408
7,2,2,15.23808676,18.11475839,-2.876671633
7,1,2,5.067524733,18.11475839,-13.04723366
7,3,2,13.49693692,18.11475839,-4.617821476
7,2,2,11.98867521,18.11475839,-6.126083183
7,2,2,17.61491774,18.11475839,-0.499840656
7,1,2,9.588299194,18.11475839,-8.526459201
7,3,2,22.66542739,18.11475839,4.550668992
7,1,2,14.10824843,18.11475839,-4.006509965
7,1,2,12.3887196,18.11475839,-5.726038795
7,2,2,16.26452249,18.11475839,-1.850235901
7,3,2,26.11863927,18.11475839,8.003880873
7,1,2,18.17780752,18.11475839,0.063049125
7,2,2,20.1127854,18.11475839,1.998027006
7,1,2,9.155724984,18.11475839,-8.959033411
7,1,2,13.3775045,18.11475839,-4.737253896
7,2,2,15.09150628,18.11475839,-3.023252115
7,3,2,25.27631105,18.11475839,7.161552655
7,1,2,12.7057768,18.11475839,-5.408981598
7,1,2,17.07436836,18.11475839,-1.040390038
7,1,2,15.02411401,18.11475839,-3.090644389
7,2,2,16.54598823,18.11475839,-1.568770164
7,3,2,27.18623232,18.11475839,9.071473921
7,1,2,28.87078612,18.11475839,10.75602772
7,2,2,18.34366131,18.11475839,0.228902915
7,3,1,29.98276682,18.11475839,11.86800843
7,2,1,20.68304383,18.11475839,2.568285436
7,3,1,26.54054521,18.11475839,8.425786818
7,1,1,14.02362554,18.11475839,-4.091132853
7,3,1,21.9645859,18.11475839,3.849827506
7,2,1,16.49279829,18.11475839,-1.621960107
7,1,1,11.68811641,18.11475839,-6.426641982
7,3,1,19.81782934,18.11475839,1.703070947
7,3,1,26.01162755,18.11475839,7.896869158
7,2,1,16.84620161,18.11475839,-1.268556785
7,1,1,11.69694949,18.11475839,-6.417808904
7,3,1,19.05428714,18.11475839,0.939528748
7,2,1,16.67581149,18.11475839,-1.438946905
7,1,1,16.84664132,18.11475839,-1.268117072
7,3,1,27.06948949,18.11475839,8.954731098
7,3,1,19.11189218,18.11475839,0.997133788
7,2,1,16.0256878,18.11475839,-2.089070593
7,3,1,23.79886008,18.11475839,5.684101685
7,3,1,24.98192011,18.11475839,6.867161713
7,2,1,15.93225365,18.11475839,-2.182504749
7,3,1,22.82635581,18.11475839,4.711597413
7,3,1,20.00044324,18.11475839,1.885684847
7,1,1,19.57894814,18.11475839,1.46418975
8,1,2,4.775857065,19.42906431,-14.65320724
8,1,2,11.65481589,19.42906431,-7.774248417
8,2,2,17.96089244,19.42906431,-1.468171871
8,1,2,12.74900471,19.42906431,-6.680059596
8,3,2,20.17969755,19.42906431,0.750633243
8,2,2,17.74619645,19.42906431,-1.682867861
8,2,2,22.00093716,19.42906431,2.571872851
8,1,2,10.23654632,19.42906431,-9.192517986
8,3,2,24.43357423,19.42906431,5.004509923
8,1,2,16.07003793,19.42906431,-3.359026375
8,1,2,18.62800266,19.42906431,-0.801061642
8,2,2,19.46219313,19.42906431,0.033128828
8,3,2,23.85100478,19.42906431,4.421940475
8,1,2,16.35920074,19.42906431,-3.069863566
8,2,2,18.62809247,19.42906431,-0.800971839
8,1,2,15.30839506,19.42906431,-4.120669242
8,1,2,18.40438091,19.42906431,-1.0246834
8,2,2,23.31101186,19.42906431,3.881947551
8,3,2,25.15086055,19.42906431,5.721796245
8,1,2,19.97934373,19.42906431,0.55027942
8,1,2,19.41212256,19.42906431,-0.016941748
8,1,2,24.19451054,19.42906431,4.765446234
8,2,2,24.23361009,19.42906431,4.80454578
8,3,2,28.28719997,19.42906431,8.858135667
8,3,1,22.91964468,19.42906431,3.490580369
8,2,1,15.82532564,19.42906431,-3.603738667
8,3,1,19.72936449,19.42906431,0.300300187
8,1,1,10.25345525,19.42906431,-9.17560906
8,3,1,20.34622871,19.42906431,0.917164404
8,2,1,15.24472063,19.42906431,-4.184343676
8,1,1,15.28939822,19.42906431,-4.139666086
8,3,1,19.09561188,19.42906431,-0.33345243
8,3,1,22.63201718,19.42906431,3.202952869
8,2,1,14.24053838,19.42906431,-5.188525926
8,1,1,12.31651004,19.42906431,-7.112554266
8,3,1,19.01215867,19.42906431,-0.416905634
8,2,1,16.47595351,19.42906431,-2.9531108
8,1,1,23.57039121,19.42906431,4.141326903
8,3,1,21.88096368,19.42906431,2.451899368
8,3,1,24.08661427,19.42906431,4.65754996
8,2,1,19.71795856,19.42906431,0.288894255
8,3,1,21.88351664,19.42906431,2.454452337
8,3,1,22.53599285,19.42906431,3.10692854
8,2,1,22.34875666,19.42906431,2.919692356
8,3,1,32.86502334,19.42906431,13.43595903
8,3,1,23.14827198,19.42906431,3.719207677
8,1,1,19.81280551,19.42906431,0.383741203
9,1,2,10.70573478,13.07178792,-2.366053136
9,1,2,12.18296445,13.07178792,-0.888823466
9,2,2,13.15070276,13.07178792,0.078914838
9,1,2,10.66211719,13.07178792,-2.409670731
9,3,2,18.8723984,13.07178792,5.800610484
9,2,2,13.79245906,13.07178792,0.720671139
9,2,2,12.82149106,13.07178792,-0.250296862
9,1,2,13.46724487,13.07178792,0.395456951
9,3,2,16.67128189,13.07178792,3.599493977
9,1,2,9.641363734,13.07178792,-3.430424184
9,1,2,11.73490213,13.07178792,-1.336885792
9,2,2,13.01351181,13.07178792,-0.058276108
9,3,2,20.52459589,13.07178792,7.452807977
9,1,2,10.49813001,13.07178792,-2.573657903
9,2,2,14.05243752,13.07178792,0.980649606
9,1,2,11.60277542,13.07178792,-1.469012495
9,1,2,15.53266372,13.07178792,2.460875807
9,2,2,15.71717118,13.07178792,2.645383265
9,3,2,22.27583574,13.07178792,9.204047819
9,1,2,11.26513283,13.07178792,-1.806655085
9,1,2,15.28378041,13.07178792,2.21199249
9,1,2,11.59446481,13.07178792,-1.477323113
9,2,2,14.33704412,13.07178792,1.2652562
9,3,2,19.43503898,13.07178792,6.363251062
9,1,2,11.54942448,13.07178792,-1.522363442
9,2,2,9.835775812,13.07178792,-3.236012106
9,3,2,19.79238497,13.07178792,6.720597052
9,2,2,14.52255416,13.07178792,1.450766244
9,1,2,10.7197822,13.07178792,-2.352005715
9,1,2,9.994017522,13.07178792,-3.077770395
9,3,1,11.53807435,13.07178792,-1.533713568
9,2,1,8.231293492,13.07178792,-4.840494425
9,3,1,15.62517034,13.07178792,2.553382427
9,1,1,5.215069313,13.07178792,-7.856718604
9,3,1,17.84941174,13.07178792,4.777623825
9,2,1,12.84463679,13.07178792,-0.227151124
9,1,1,11.05910924,13.07178792,-2.012678679
9,3,1,21.15353187,13.07178792,8.081743951
9,3,1,15.93222991,13.07178792,2.860441994
9,2,1,8.53188276,13.07178792,-4.539905158
9,1,1,5.812604095,13.07178792,-7.259183823
9,3,1,9.275388325,13.07178792,-3.796399592
9,2,1,8.979775422,13.07178792,-4.092012496
9,1,1,8.000081785,13.07178792,-5.071706133
9,3,1,16.29796863,13.07178792,3.226180708
9,3,1,22.39292462,13.07178792,9.321136703
9,2,1,11.89852496,13.07178792,-1.173262963
9,3,1,11.23179318,13.07178792,-1.839994736
9,3,1,13.27314069,13.07178792,0.201352769
9,2,1,8.976967478,13.07178792,-4.09482044
9,3,1,18.22242866,13.07178792,5.150640744
9,3,1,15.90902388,13.07178792,2.83723596
9,1,1,7.102450048,13.07178792,-5.96933787
9,3,1,16.98783074,13.07178792,3.916042826
9,3,1,16.04909172,13.07178792,2.977303806
9,2,1,8.801117341,13.07178792,-4.270670577
9,3,1,18.50675751,13.07178792,5.434969591
9,1,1,7.522455378,13.07178792,-5.549332539
9,2,1,12.75015611,13.07178792,-0.321631805
9,2,1,10.28710568,13.07178792,-2.784682237
9,3,1,16.15336509,13.07178792,3.081577174
9,2,1,9.947199416,13.07178792,-3.124588502
10,1,2,15.5762361,29.1752937,-13.5990576
10,1,2,24.69533689,29.1752937,-4.479956812
10,2,2,29.56587829,29.1752937,0.390584594
10,1,2,23.96073913,29.1752937,-5.21455457
10,3,2,26.14596277,29.1752937,-3.029330934
10,2,2,25.71265025,29.1752937,-3.462643452
10,2,2,27.13133804,29.1752937,-2.043955659
10,1,2,17.65483738,29.1752937,-11.52045632
10,3,2,38.14090462,29.1752937,8.965610917
10,1,2,32.93520495,29.1752937,3.759911255
10,1,2,25.17873345,29.1752937,-3.996560248
10,2,2,37.92384873,29.1752937,8.748555035
10,3,2,41.57753471,29.1752937,12.40224101
10,1,2,30.20085864,29.1752937,1.025564945
10,2,2,32.91934512,29.1752937,3.744051419
10,1,2,25.40716897,29.1752937,-3.768124733
10,1,2,32.15118641,29.1752937,2.975892709
10,2,2,42.65608692,29.1752937,13.48079322
10,3,1,31.28747259,29.1752937,2.112178891
10,2,1,31.40682804,29.1752937,2.231534337
10,3,1,42.0611731,29.1752937,12.8858794
